Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
Mrs. Nicola Bone,251 Hotwell Road,Hotwells,Bristol,,BS8 4SF,1179292165,1-153028830,,http://www.thenaturalsmile.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-153028830,The Natural Smile Dental Practice,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Individual,
The Natural Smile Dental Practice,251 Hotwell Road,Hotwells,Bristol,,BS8 4SF,1179292165,1-153028830,1-226789437,http://www.thenaturalsmile.co.uk,"Bristol, City of",South West,2013-10-18T23:00:00Z,http://www.cqc.org.uk/location/1-226789437,,Services for everyone,Dentist,Mrs. Nicola Bone
National Centre for Integrative Medicine Community Interest Company,Rodney House,"Clifton Down Road, Clifton",Bristol,,BS8 4AL,7734791830,1-2131057663,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-2131057663,,Treatment of disease disorder or injury,Organisation,
Cintre House,54 St John's Road,Clifton,Bristol,,BS8 2HG,1179738546,1-101667028,1-146055618,http://www.cintre.org,"Bristol, City of",South West,2018-06-11T23:00:00Z,http://www.cqc.org.uk/location/1-146055618,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions",Residential homes,Cintre
Redland Park DS Ltd,Redland Park Dental Surgery,9 Redland Park,"Redland, Bristol",,BS6 6SA,1179733308,1-205034051,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-205034051,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Redland Park Dental Surgery,9 Redland Park,Redland,Bristol,,BS6 6SA,1179733308,1-205034051,1-229461413,,"Bristol, City of",South West,2013-10-30T00:00:00Z,http://www.cqc.org.uk/location/1-229461413,,Services for everyone,Dentist,Redland Park DS Ltd
Mr Ceri Peter Owen-Roberts,30 Elgin Park,,Bristol,Avon,BS6 6RX,1179735677,1-592878505,,http://www.elginparkdental.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-592878505,Elgin Park Dental Practice,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Individual,
Elgin Park Dental Practice Limited,30 Elgin Park,Redland,Bristol,Avon,BS6 6RX,1179735677,1-635260312,,http://www.elginparkdental.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-635260312,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
Elgin Park Dental Practice,30 Elgin Park,,Bristol,Avon,BS6 6RX,1179735677,1-635260312,1-614586642,http://www.elginparkdental.co.uk,"Bristol, City of",South West,2014-08-29T23:00:00Z,http://www.cqc.org.uk/location/1-614586642,,Services for everyone,Dentist,Elgin Park Dental Practice Limited
Elgin Park Dental Practice,30 Elgin Park,,Bristol,Avon,BS6 6RX,1179735677,1-592878505,1-721799550,http://www.elginparkdental.co.uk,"Bristol, City of",South West,2014-08-29T23:00:00Z,http://www.cqc.org.uk/location/1-721799550,,Services for everyone,Dentist,Mr Ceri Peter Owen-Roberts
Orchard Grove Reablement Centre,Devon Road,Whitehall,Bristol,,BS5 9AD,1179396681,1-101639624,1-118945024,http://www.brunelcare.org.uk,"Bristol, City of",South West,2018-07-17T23:00:00Z,http://www.cqc.org.uk/location/1-118945024,Saffron Care Home,"Dementia,Caring for adults over 65 yrs",Nursing homes,Brunelcare
The Mall Dental Practice Ltd,15 The Mall,,Bristol,,BS8 4DS,7703114997,1-5896868564,,http://www.cliftondentalsurgery.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-5896868564,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,
The Dental Surgery - Clifton,15 The Mall,Clifton Village,Bristol,,BS8 4DS,1179737444,1-5896868564,1-6016954149,http://www.cliftondentalsurgery.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-6016954149,,Services for everyone,Dentist,The Mall Dental Practice Ltd
The Dental Surgey - Clifton,15 The Mall,,Bristol,,BS8 4DS,1179737444,1-1264909663,1-7502499385,http://www.cliftondentalsurgery.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-7502499385,,Services for everyone,Dentist,Mr Touraj Razavi
Carlton Mansions Care Home,8 Apsley Road,Clifton,Bristol,,BS8 2SP,1179734394,1-116865061,1-123562577,http://www.brighterkind.com/carltonmansions,"Bristol, City of",South West,2018-05-15T23:00:00Z,http://www.cqc.org.uk/location/1-123562577,,"Dementia,Caring for adults over 65 yrs",Residential homes,Acegold Limited
Q Dental Care - Clifton,"Wallace House, 116 Pembroke Road",Clifton,Bristol,Avon,BS8 3EW,1179746555,1-152954442,1-478207443,http://www.mydentist.co.uk,"Bristol, City of",South West,2019-06-05T23:00:00Z,http://www.cqc.org.uk/location/1-478207443,,Services for everyone,Dentist,Q Dental Care Limited
Redfield Lodge,Avonvale Road,Redfield,Bristol,,BS5 9RG,1173534320,1-101642256,1-216201481,,"Bristol, City of",South West,2019-12-03T00:00:00Z,http://www.cqc.org.uk/location/1-216201481,,"Dementia,Caring for adults over 65 yrs",Residential homes,Bristol City Council
Alexandra House - Bristol,250 Wells Road,Knowle,Bristol,,BS4 2PN,1179778423,1-101616784,1-113602318,http://www.aspergercare.co.uk,"Bristol, City of",South West,2018-11-24T00:00:00Z,http://www.cqc.org.uk/location/1-113602318,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions",Residential homes,Alexandra Homes (Bristol) Limited
Pembroke Road Surgery,111 Pembroke Road,Clifton,Bristol,,BS8 3EU,1179733790,1-199759772,,http://www.pembrokeroadsurgery.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199759772,Dr Rossdale and Partners,"Maternity and midwifery services,Family planning services,Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Pembroke Road Surgery,111 Pembroke Road,Clifton,Bristol,,BS8 3EU,1179733790,1-199759772,1-572711754,http://www.pembrokeroadsurgery.co.uk,"Bristol, City of",South West,2016-03-15T00:00:00Z,http://www.cqc.org.uk/location/1-572711754,Dr Fielding and Partners,Services for everyone,"Doctors/GPs,Doctors/GPs",Pembroke Road Surgery
Agincare UK Bristol,Suite 22a Monarch House,"Smyth Road, Bedminster",Bristol,,BS3 2BX,1179637549,1-118166357,1-134638551,http://www.agincare.com,"Bristol, City of",South West,2018-06-28T23:00:00Z,http://www.cqc.org.uk/location/1-134638551,,"Caring for children (0 - 18yrs),Sensory impairments,Services for everyone,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities","Homecare agencies,Supported housing,Supported living",Agincare UK Limited
Linia Bristol,Litfield Medical Centre,1 Litfield Place,Bristol,,BS8 3LA,,1-1894279631,1-2116628573,,"Bristol, City of",South West,2017-01-03T00:00:00Z,http://www.cqc.org.uk/location/1-2116628573,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Clinic,Linia Ltd
"Bupa - Gloucester Road, Bristol",229-231 Gloucester Road,Bishopston,Bristol,,BS7 8NR,1179424044,1-152953768,1-199296149,http://www.bishopstondental.co.uk,"Bristol, City of",South West,2013-02-26T00:00:00Z,http://www.cqc.org.uk/location/1-199296149,,Services for everyone,Dentist,Oasis Dental Care (Southern) Limited
Perpetual Care Ltd,Redland Office Centre,157 Redland Road,Bristol,Avon,BS6 6YE,1174032262,1-2715477596,,http://www.caremark.co.uk/locations/bristol,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-2715477596,Caremark (Bristol),Personal care,Organisation,
Perpetual Home Care Limited,Redland Office Centre,157 Redland Road,Bristol,Avon,BS6 6YE,1454210322,1-6892317380,,http://www.caremark.co.uk/locations/south-gloucestershire,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-6892317380,Caremark (South Gloucestershire),Personal care,Organisation,
Eastville Medical Practice,East Trees Health Centre,"100A Fishponds Road, Eastville",Bristol,,BS5 6SA,1179026752,1-199759225,,http://www.eastvillemedicalpractice.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199759225,,"Maternity and midwifery services,Family planning services,Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
The Maytrees Practice,Easttrees Health Centre,"100a Fishponds Road, Eastville",Bristol,,BS5 6SA,1179510042,1-199760275,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199760275,,"Maternity and midwifery services,Family planning services,Treatment of disease disorder or injury,Diagnostic and screening procedures",Partnership,
East Trees Health Centre,100A Fishponds Road,Eastville,Bristol,,BS5 6SA,1172444123,1-199760275,1-3798954560,,"Bristol, City of",South West,2019-01-30T00:00:00Z,http://www.cqc.org.uk/location/1-3798954560,,Services for everyone,"Doctors/GPs,Doctors/GPs",The Maytrees Practice
Eastville Medical Practice,East Trees Health Centre,"100A Fishponds Road, Eastville",Bristol,,BS5 6SA,1172444123,1-199759225,1-3644999930,http://www.eastvillemedicalpractice.co.uk,"Bristol, City of",South West,2018-12-11T00:00:00Z,http://www.cqc.org.uk/location/1-3644999930,,Services for everyone,"Doctors/GPs,Doctors/GPs",Eastville Medical Practice
Integrated Health Screening Limited,Litfield House Medical Centre,"1 Litfield Place, Clifton Down",Bristol,,BS8 3LS,1173171460,1-134330912,,http://www.litfieldhouse.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-134330912,,"Treatment of disease disorder or injury,Diagnostic and screening procedures",Organisation,
Integrated Health Screening,Litfield House Medical Centre,"1 Litfield Place, Clifton Down",Bristol,,BS8 3LS,1173171460,1-134330912,1-159135465,http://www.litfieldhouse.co.uk,"Bristol, City of",South West,2014-01-08T00:00:00Z,http://www.cqc.org.uk/location/1-159135465,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",Diagnosis/screening,Integrated Health Screening Limited
Beard Medical LLP,Litfield House Medical Centre,"1 Litfield Place, Clifton Down",Bristol,,BS8 3LS,1179731323,1-2734106267,,http://www.beardmedical.com,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-2734106267,Beard Medical Practice,"Treatment of disease disorder or injury,Diagnostic and screening procedures",Organisation,
Mr. Paul Renton-Harper,Litfield House Medical Centre,"1 Litfield Place, Clifton Down",Bristol,,BS8 3LS,1173171431,1-153034903,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-153034903,Renton-Harper Periodontics,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Individual,
Litfield House Medical Centre,1 Litfield Place,Clifton Down,Bristol,,BS8 3LS,1173171431,1-153034903,1-190446853,,"Bristol, City of",South West,2014-02-15T00:00:00Z,http://www.cqc.org.uk/location/1-190446853,,Services for everyone,Dentist,Mr. Paul Renton-Harper
The Whiteley Clinic Bristol,Litfield House Medical Centre,"1 Litfield Place, Clifton Down",Bristol,,BS8 3LS,1179731323,1-101725934,1-1282033690,http://www.thewhiteleyclinic.co.uk,"Bristol, City of",South West,2017-02-08T00:00:00Z,http://www.cqc.org.uk/location/1-1282033690,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Clinic,The Whiteley Clinic Limited
Litfield House Medical Centre,1 Litfield Place,Clifton Down,Bristol,Avon,BS8 3LS,1179731323,1-4033188996,1-4317893712,http://www.litfieldhouse.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-4317893712,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Learning disabilities,Mental health conditions","Doctors/GPs,Doctors/GPs",Referre Ltd
Newmedica Community Ophthalmology Service,Litfield House Medical Centre,"1 Litfield Place, Clifton Down",Bristol,,BS8 3LS,1179731323,1-4752978345,1-4922409215,http://www.newmedica.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-4922409215,,"Sensory impairments,Caring for adults under 65 yrs,Caring for adults over 65 yrs",Clinic,Bristol Newmedica Limited
Litfield House Medical Centre,1 Litfield Place,Clifton Down,Bristol,,BS8 3LS,1179731323,1-2734106267,1-2843600915,http://www.beardmedical.com,"Bristol, City of",South West,2019-05-21T23:00:00Z,http://www.cqc.org.uk/location/1-2843600915,,Services for everyone,"Doctors/GPs,Doctors/GPs,Mobile doctors",Beard Medical LLP
Litfield House Medical Centre,1 Litfield Place,Clifton Down,Bristol,,BS8 3LS,1179731323,1-2131057663,1-2228037860,,"Bristol, City of",South West,2019-07-17T23:00:00Z,http://www.cqc.org.uk/location/1-2228037860,,Services for everyone,Doctors/GPs,National Centre for Integrative Medicine Community Interest Company
Osborne Court Care Home,183 West Street,Bedminster,Bristol,Avon,BS3 3PX,1179535829,1-125692991,1-2513219395,,"Bristol, City of",South West,2019-10-21T23:00:00Z,http://www.cqc.org.uk/location/1-2513219395,,"Dementia,Caring for adults over 65 yrs",Nursing homes,Four Seasons 2000 Limited
Dr. Julien Lomax,313 Wells Road,Knowle,Bristol,,BS4 2PT,1179776567,1-152954232,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-152954232,Knowle Dental Practice,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Individual,
Saffron Gardens - Prospect Place,Saffron Gardens,Prospect Place,Bristol,Avon,BS5 9FF,1179396681,1-101639624,1-4224260348,http://www.brunelcare.org.uk,"Bristol, City of",South West,2018-12-04T00:00:00Z,http://www.cqc.org.uk/location/1-4224260348,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities","Nursing homes,Supported housing",Brunelcare
Brunelcare,"Brunelcare Head Office, Saffron Gardens","Prospect Place, Whitehall",Bristol,,BS5 9FF,1179144200,1-101639624,,http://www.brunelcare.org.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-101639624,,"Personal care,Accommodation for persons who require nursing or personal care,Treatment of disease disorder or injury",Organisation,
Mr Stuart Campbell Lawson,269 Church Road,Redfield,Bristol,Avon,BS5 9HT,1179540351,1-1740847962,,http://www.churchroaddental-bristol.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-1740847962,Church Road Dental Practice,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Individual,
Church Road Dental Practice,269 Church Road,Redfield,Bristol,Avon,BS5 9HT,1179540351,1-1740847962,1-1860699385,http://www.churchroaddental-bristol.co.uk,"Bristol, City of",South West,2017-12-05T00:00:00Z,http://www.cqc.org.uk/location/1-1860699385,,Services for everyone,Dentist,Mr Stuart Campbell Lawson
Bristol Supported Living,127 Pembroke Road,Clifton,Bristol,,BS8 3ES,1179731913,1-102642790,1-119185604,http://www.mencap.org.uk,"Bristol, City of",South West,2019-09-05T23:00:00Z,http://www.cqc.org.uk/location/1-119185604,,Learning disabilities,Homecare agencies,Royal Mencap Society
Bristol Dental Anaesthetic Clinic,4 Downside Road,Clifton,Bristol,,BS8 2XE,1179744441,1-152953759,1-447373901,http://www.bristoldentalsedation.co.uk/practice/229/home.aspx,"Bristol, City of",South West,2013-12-11T00:00:00Z,http://www.cqc.org.uk/location/1-447373901,,Services for everyone,Dentist,Oasis Dental Care (Central) Limited
Kings Road Dental Practice,1 Kings Road,Brislington,Bristol,,BS4 3HH,1179776226,1-5598001510,1-7805473680,,"Bristol, City of",South West,2019-08-19T23:00:00Z,http://www.cqc.org.uk/location/1-7805473680,,Services for everyone,Dentist,Kings Road Dental Partnership
Kings Road Dental Partnership,1 Kings Road,Brislington,Bristol,,BS4 3HH,1179776226,1-5598001510,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-5598001510,,"Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Avon Home Carers Limited,The Old Church,Neath Road,Bristol,Avon,BS5 9AP,1179586222,1-167295187,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-167295187,,Personal care,Organisation,
"Bupa - Neath Road, St George",Neath Road,St George,Bristol,,BS5 9AP,1179515559,1-152953759,1-219446351,http://www.stgeorgedentist.co.uk,"Bristol, City of",South West,2013-10-01T23:00:00Z,http://www.cqc.org.uk/location/1-219446351,,Services for everyone,Dentist,Oasis Dental Care (Central) Limited
Avon Home Carers,The Old Church,Neath Road,Bristol,Avon,BS5 9AP,1179586222,1-167295187,1-393446883,,"Bristol, City of",South West,2018-08-31T23:00:00Z,http://www.cqc.org.uk/location/1-393446883,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Eating disorders,Physical disabilities",Homecare agencies,Avon Home Carers Limited
Mydentist - Wells Road - Bristol,Broad Walk Shopping Centre,Knowle,Bristol,Avon,BS4 2QB,1179713107,1-161851228,1-1336644921,http://www.mydentist.co.uk,"Bristol, City of",South West,2015-08-26T23:00:00Z,http://www.cqc.org.uk/location/1-1336644921,my dentist,Services for everyone,Dentist,Whitecross Dental Care Limited
Mydentist - Wells Road - Bristol,Broadwalk Shopping Centre,Knowle,Bristol,,BS4 2QB,1179713107,1-161850942,1-1125975874,http://www.mydentist.co.uk,"Bristol, City of",South West,2015-08-26T23:00:00Z,http://www.cqc.org.uk/location/1-1125975874,my dentist,Services for everyone,Dentist,Petrie Tucker and Partners Limited
Mydentist - Wells Road - Bristol,Broad Walk Shopping Centre,Knowle,Bristol,Avon,BS4 2QB,1179713107,1-642875587,1-1336667640,http://www.mydentist.co.uk,"Bristol, City of",South West,2015-08-26T23:00:00Z,http://www.cqc.org.uk/location/1-1336667640,my dentist,Services for everyone,Dentist,Gairloch House Dental Practice Partnership
Mydentist - Wells Road - Bristol,Broad Walk Shopping Centre,Wells Road,Knowle,,BS4 2QB,1179713107,1-1373710686,1-1451381473,http://www.mydentist.co.uk,"Bristol, City of",South West,2015-08-26T23:00:00Z,http://www.cqc.org.uk/location/1-1451381473,my dentist,Services for everyone,Dentist,Broadwalk Dental Centre Practice Partnership
The Recovery Hub,33A Hampstead Road,,Bristol,Avon,BS4 3HL,1179077219,1-101649874,1-118415726,http://www.milestonestrust.org.uk,"Bristol, City of",South West,2019-10-22T23:00:00Z,http://www.cqc.org.uk/location/1-118415726,,Mental health conditions,Residential homes,Milestones Trust
Tramways,1 Tramway Road,Brislington,Bristol,,BS4 3DS,1173009637,1-101649874,1-118415826,http://www.milestonestrust.org.uk,"Bristol, City of",South West,2019-08-28T23:00:00Z,http://www.cqc.org.uk/location/1-118415826,,Mental health conditions,Nursing homes,Milestones Trust
Spire Bristol Hospital,The Glen,"Redland Hill, Durdham Down",Bristol,,BS6 6UT,1179804000,1-102643305,1-129783097,http://www.spirehealthcare.com/bristol,"Bristol, City of",South West,2017-04-11T23:00:00Z,http://www.cqc.org.uk/location/1-129783097,,"Caring for children (0 - 18yrs),Services for everyone",Hospital,Spire Healthcare Limited
Alliance Living Care - Bristol,The Park,Daventry Road,Bristol,Avon,BS4 1DQ,1173533135,1-1271027828,1-6278782198,,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-6278782198,,"Sensory impairments,Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Alliance Living Care Ltd
Brandon Trust Supported Living - Bristol and North Somerset,"Room J41, The Park Centre","Daventry Road, Knowle",Bristol,Avon,BS4 1DQ,1179077200,1-101639606,1-686350511,http://www.brandontrust.org,"Bristol, City of",South West,2018-06-27T23:00:00Z,http://www.cqc.org.uk/location/1-686350511,,Learning disabilities,Supported living,The Brandon Trust
Dr Meadows and Partners,324-326 Wells Road,Knowle,Bristol,,BS4 2QJ,1179493988,1-199759799,,http://www.priorysurgerybristol.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199759799,Priory Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease disorder or injury,Diagnostic and screening procedures",Partnership,
Dr Meadows and Partners,324-326 Wells Road,Knowle,Bristol,,BS4 2QJ,1179493988,1-199759799,1-569534809,http://www.priorysurgerybristol.co.uk,"Bristol, City of",South West,2015-11-19T00:00:00Z,http://www.cqc.org.uk/location/1-569534809,Priory Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs",Dr Meadows and Partners
The Cote Charity,Merchants Hall,"The Promenade, Clifton",Bristol,,BS8 3NH,1179873540,1-101650365,,http://www.cotecharity.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-101650365,,Accommodation for persons who require nursing or personal care,Organisation,
Robleaze House,537-539 Bath Road,"Robleaze, Brislington",Bristol,,BS4 3LB,1179720813,1-130600609,1-146023858,,"Bristol, City of",South West,2019-10-21T23:00:00Z,http://www.cqc.org.uk/location/1-146023858,,Learning disabilities,Residential homes,Mrs Susan Mary Robinson
Mrs Susan Mary Robinson,537-539 Bath Road,"Robleaze, Brislington",Bristol,,BS4 3LB,1179720813,1-130600609,,,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-130600609,,Accommodation for persons who require nursing or personal care,Individual,
Whites House,Station Road,Muller Road,Bristol,,BS7 9NB,1179516407,1-101640268,1-117991807,http://www.freeways.org.uk,"Bristol, City of",South West,2018-04-26T23:00:00Z,http://www.cqc.org.uk/location/1-117991807,,"Learning disabilities,Mental health conditions,Caring for adults over 65 yrs",Residential homes,Freeways
Riversway Nursing Home,Crews Hole Road,St George,Bristol,,BS5 8GG,1179555758,1-120628852,1-135257007,http://www.springhillcare.com,"Bristol, City of",South West,2017-06-19T23:00:00Z,http://www.cqc.org.uk/location/1-135257007,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Riversway Care Limited
Window to the Womb,10 Winterstoke Road,,Bristol,Avon,BS3 2NQ,7855411626,1-2061592367,1-2179796137,http://WWW.WINDOWTOTHEWOMB.CO.UK,"Bristol, City of",South West,2019-11-11T00:00:00Z,http://www.cqc.org.uk/location/1-2179796137,,Caring for adults under 65 yrs,Diagnosis/screening,Scantastik Limited
Underhay House,639-641 Muller Road,Eastville,Bristol,,BS5 6XS,1179519094,1-101640268,1-117991875,http://www.freeways.org.uk,"Bristol, City of",South West,2019-01-05T00:00:00Z,http://www.cqc.org.uk/location/1-117991875,,"Sensory impairments,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Freeways
Hampstead Road Care Home,76-78 Hampstead Road,Brislington,Bristol,,BS4 3HW,1179720811,1-101639606,1-131451037,http://www.brandontrust.org,"Bristol, City of",South West,2018-11-09T00:00:00Z,http://www.cqc.org.uk/location/1-131451037,,Learning disabilities,Residential homes,The Brandon Trust
Meadow Care Homes Ltd,2-3 Belvedere Road,Redland,Bristol,,BS6 7JG,1179730174,1-101689948,,http://www.meadowcare.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-101689948,,"Accommodation for persons who require nursing or personal care,Treatment of disease disorder or injury",Organisation,
Meadowcare 2,Glenview Nursing Homes,8-9 Belvedere Road,Bristol,Avon,BS6 7JG,1179734910,1-4314026202,,http://www.glenviewbristol.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-4314026202,Glenview Nursing Home,"Accommodation for persons who require nursing or personal care,Treatment of disease disorder or injury",Partnership,
Belvedere Lodge,1 Belvedere Road,Westbury Park,Bristol,,BS6 7JG,1179731163,1-101685915,1-134091706,http://www.ablecare-homes.co.uk,"Bristol, City of",South West,2019-02-01T00:00:00Z,http://www.cqc.org.uk/location/1-134091706,,"Dementia,Caring for adults over 65 yrs",Residential homes,Ablecare Homes Limited
Glenview Nursing Home,8-9 Belvedere Road,Redland,Bristol,,BS6 7JG,1179734910,1-4314026202,1-4982988669,,"Bristol, City of",South West,2019-07-10T23:00:00Z,http://www.cqc.org.uk/location/1-4982988669,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Meadowcare 2
Meadowcare Home,2-3 Belvedere Road,Redland,Bristol,,BS6 7JG,1179730174,1-101689948,1-129922237,http://www.meadowcare.co.uk,"Bristol, City of",South West,2018-04-25T23:00:00Z,http://www.cqc.org.uk/location/1-129922237,,"Services for everyone,Dementia,Caring for adults over 65 yrs",Nursing homes,Meadow Care Homes Ltd
HMP Bristol,Cambridge Road,,Bristol,Avon,BS7 8PS,1173723100,1-1451525461,1-2478419321,,"Bristol, City of",South West,,http://www.cqc.org.uk/location/1-2478419321,,Services for everyone,Dentist,Time for Teeth Limited
HMP Bristol,Cambridge Road,,Bristol,,BS7 8PS,,RVN,RVNX1,,"Bristol, City of",South West,2018-10-18T23:00:00Z,http://www.cqc.org.uk/location/RVNX1,,Mental health conditions,Prison healthcare,Avon and Wiltshire Mental Health Partnership NHS Trust
HMP Bristol,Cambridge Road,Horfield,Bristol,,BS7 8PS,1173723051,1-296908348,1-304883881,,"Bristol, City of",South West,2018-09-02T23:00:00Z,http://www.cqc.org.uk/location/1-304883881,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities","Homecare agencies,Prison healthcare",Bristol Community Health C.I.C.
Birchwood Medical Practice,Brooklea Health Centre,"Wick Road, Brislington",Bristol,,BS4 4HU,1173304208,1-199760049,,http://www.birchwoodbristol.nhs.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199760049,,"Maternity and midwifery services,Family planning services,Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Nightingale Valley Practice,Brooklea Health Centre,"Wick Road, Brislington",Bristol,,BS4 4HU,1173304300,1-199759322,,http://www.nightingalevalleypractice.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199759322,,"Maternity and midwifery services,Family planning services,Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
Birchwood Medical Practice,Brooklea Health Centre,"Wick Road, Brislington",Bristol,,BS4 4HU,1173304208,1-199760049,1-553173504,,"Bristol, City of",South West,2015-12-08T00:00:00Z,http://www.cqc.org.uk/location/1-553173504,,Services for everyone,"Doctors/GPs,Doctors/GPs",Birchwood Medical Practice
Nightingale Valley Practice,Brooklea Health Centre,"Wick Road, Brislington",Bristol,,BS4 4HU,1173304300,1-199759322,1-560403682,http://www.nightingalevalleypractice.co.uk,"Bristol, City of",South West,2017-03-28T23:00:00Z,http://www.cqc.org.uk/location/1-560403682,,Services for everyone,"Doctors/GPs,Doctors/GPs",Nightingale Valley Practice
The Crest Family Practice,William Budd Health Centre,"Downton Road, Knowle",Bristol,,BS4 1WH,1179449700,1-199759905,,http://www.crestfamilypractice.co.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199759905,,"Maternity and midwifery services,Family planning services,Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
The Crest Family Practice,William Budd Health Centre,"Downton Road, Knowle",Bristol,,BS4 1WH,1179449700,1-199759905,1-572307076,http://www.crestfamilypractice.co.uk,"Bristol, City of",South West,2018-11-13T00:00:00Z,http://www.cqc.org.uk/location/1-572307076,,Services for everyone,"Doctors/GPs,Doctors/GPs",The Crest Family Practice
The Merrywood Practice,William Budd Health Centre,"Downton Road, Knowle",Bristol,,BS4 1WH,1179449750,1-199759895,,http://www.merrywoodpractice.nhs.uk,"Bristol, City of",South West,,http://www.cqc.org.uk/provider/1-199759895,,"Maternity and midwifery services,Family planning services,Treatment of disease disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,
The Merrywood Practice,William Budd Health Centre,"Downton Road, Knowle",Bristol,,BS4 1WH,1179449750,1-199759895,1-551561408,http://www.merrywoodpractice.nhs.uk,"Bristol, City of",South West,2016-06-29T23:00:00Z,http://www.cqc.org.uk/location/1-551561408,,Services for everyone,"Doctors/GPs,Doctors/GPs",The Merrywood Practice
